ID_TRANSACCION;ID_CLIENTE;TIPO_TRANSACCION;MONTO;CANAL;COMERCIO_CONTRAPARTE;FECHA
5001;19;PAGO_NOMINA;870717;APP_MOVIL;EMPRESA_X;2025-03-02
5002;27;COMPRA_COMERCIO;-225590;WEB;SUPERMERCADO_LIDER;2025-12-10
5003;25;COMPRA_COMERCIO;-108787;ATM;AGUAS_ANDINAS;2025-08-25
5004;1;PAGO_NOMINA;2236861;APP_MOVIL;JUAN_PEREZ;2025-11-08
5005;1;DEPOSITO;1436826;ATM;BANCO_CHILE;2025-03-21
5006;21;PAGO_SERVICIO;-735863;APP_MOVIL;SHELL;2025-04-07
5007;26;PAGO_SERVICIO;-375883;SUCURSAL;SUPERMERCADO_LIDER;2025-04-18
5008;21;DEPOSITO;650212;ATM;BANCO_CHILE;2025-12-07
5009;3;COMPRA_COMERCIO;-193717;ATM;FALABELLA;2025-07-01
5010;8;TRANSFERENCIA_RECIBIDA;596974;ATM;PROVEEDOR_ABC;2025-03-22
5011;5;DEPOSITO;1798075;WEB;EMPRESA_X;2025-01-05
5012;27;DEPOSITO;608735;WEB;CLIENTE_123;2025-04-08
5013;8;DEPOSITO;1884171;APP_MOVIL;EMPRESA_Y;2025-08-07
5014;4;DEPOSITO;994723;SUCURSAL;CLIENTE_123;2025-01-12
5015;24;TRANSFERENCIA_ENVIADA;-40278;SUCURSAL;FALABELLA;2025-03-24
5016;7;COMPRA_COMERCIO;-147191;APP_MOVIL;SUPERMERCADO_LIDER;2025-02-25
5017;19;TRANSFERENCIA_ENVIADA;-83081;SUCURSAL;FALABELLA;2025-11-02
5018;28;TRANSFERENCIA_RECIBIDA;725034;WEB;BANCO_ESTADO;2025-12-18
5019;4;COMPRA_COMERCIO;-639307;APP_MOVIL;SHELL;2025-12-18
5020;6;PAGO_NOMINA;1467709;SUCURSAL;EMPRESA_X;2025-11-20
5021;21;COMPRA_COMERCIO;-39967;APP_MOVIL;NETFLIX;2025-03-28
5022;1;TRANSFERENCIA_ENVIADA;-458646;APP_MOVIL;SHELL;2025-08-03
5023;25;COMPRA_COMERCIO;-291595;WEB;SUPERMERCADO_LIDER;2025-12-21
5024;2;TRANSFERENCIA_ENVIADA;-758656;ATM;SUPERMERCADO_LIDER;2025-09-05
5025;29;COMPRA_COMERCIO;-118073;WEB;NETFLIX;2025-12-02
5026;6;PAGO_SERVICIO;-352174;WEB;NETFLIX;2025-05-14
5027;28;PAGO_SERVICIO;-112477;WEB;MOVISTAR;2025-09-16
5028;27;GIRO_CAJERO;-786828;WEB;MOVISTAR;2025-09-14
5029;14;GIRO_CAJERO;-418076;APP_MOVIL;AGUAS_ANDINAS;2025-02-06
5030;10;COMPRA_COMERCIO;-386792;WEB;UBER;2025-02-22
5031;23;TRANSFERENCIA_ENVIADA;-61017;ATM;ENEL;2025-01-20
5032;22;COMPRA_COMERCIO;-450675;WEB;NETFLIX;2025-03-25
5033;4;TRANSFERENCIA_ENVIADA;-370213;APP_MOVIL;FALABELLA;2025-10-08
5034;15;PAGO_SERVICIO;-323226;APP_MOVIL;COPEC;2025-04-28
5035;9;TRANSFERENCIA_RECIBIDA;2177784;ATM;EMPRESA_X;2025-07-26
5036;13;TRANSFERENCIA_RECIBIDA;1955548;SUCURSAL;BANCO_ESTADO;2025-04-09
5037;7;TRANSFERENCIA_RECIBIDA;2258285;SUCURSAL;PROVEEDOR_ABC;2025-10-21
5038;27;COMPRA_COMERCIO;-368113;WEB;AGUAS_ANDINAS;2025-05-18
5039;18;PAGO_NOMINA;600055;APP_MOVIL;PROVEEDOR_ABC;2025-06-02
5040;28;PAGO_SERVICIO;-352524;WEB;AMAZON;2025-12-15
5041;20;TRANSFERENCIA_ENVIADA;-92692;APP_MOVIL;AGUAS_ANDINAS;2025-11-17
5042;27;PAGO_SERVICIO;-388397;ATM;UBER;2025-05-11
5043;4;DEPOSITO;395359;APP_MOVIL;CLIENTE_123;2025-04-10
5044;18;TRANSFERENCIA_RECIBIDA;2297173;SUCURSAL;JUAN_PEREZ;2025-02-14
5045;26;GIRO_CAJERO;-522952;ATM;AMAZON;2025-09-03
5046;5;DEPOSITO;52571;SUCURSAL;JUAN_PEREZ;2025-11-03
5047;14;TRANSFERENCIA_ENVIADA;-38990;APP_MOVIL;SHELL;2025-09-17
5048;4;PAGO_SERVICIO;-328001;ATM;NETFLIX;2025-07-05
5049;26;DEPOSITO;78635;SUCURSAL;CLIENTE_123;2025-09-18
5050;14;DEPOSITO;2496519;WEB;BANCO_ESTADO;2025-09-05
5051;2;GIRO_CAJERO;-377480;ATM;COPEC;2025-12-09
5052;22;DEPOSITO;570859;ATM;BANCO_ESTADO;2025-03-25
5053;1;COMPRA_COMERCIO;-483357;WEB;SHELL;2025-02-20
5054;21;DEPOSITO;2001445;SUCURSAL;PROVEEDOR_ABC;2025-03-26
5055;18;PAGO_SERVICIO;-223544;ATM;AGUAS_ANDINAS;2025-10-01
5056;12;PAGO_SERVICIO;-469371;WEB;SHELL;2025-09-05
5057;6;COMPRA_COMERCIO;-467314;SUCURSAL;MOVISTAR;2025-08-06
5058;6;PAGO_SERVICIO;-771156;SUCURSAL;UBER;2025-07-26
5059;18;COMPRA_COMERCIO;-454250;WEB;AMAZON;2025-09-21
5060;28;PAGO_SERVICIO;-798501;APP_MOVIL;ENEL;2025-11-02
5061;6;GIRO_CAJERO;-618800;ATM;NETFLIX;2025-09-19
5062;12;TRANSFERENCIA_ENVIADA;-571452;APP_MOVIL;COPEC;2025-02-26
5063;14;PAGO_SERVICIO;-246537;SUCURSAL;COPEC;2025-09-28
5064;12;COMPRA_COMERCIO;-168576;ATM;AGUAS_ANDINAS;2025-02-14
5065;11;PAGO_NOMINA;1146556;ATM;EMPRESA_Y;2025-10-02
5066;4;COMPRA_COMERCIO;-426262;ATM;NETFLIX;2025-07-13
5067;12;TRANSFERENCIA_ENVIADA;-154912;APP_MOVIL;AGUAS_ANDINAS;2025-09-27
5068;25;COMPRA_COMERCIO;-601702;SUCURSAL;SHELL;2025-09-28
5069;30;TRANSFERENCIA_ENVIADA;-513296;WEB;ENEL;2025-06-13
5070;17;GIRO_CAJERO;-535033;WEB;NETFLIX;2025-04-20
5071;2;PAGO_NOMINA;865516;ATM;EMPRESA_X;2025-07-27
5072;28;TRANSFERENCIA_RECIBIDA;709965;APP_MOVIL;PROVEEDOR_ABC;2025-04-28
5073;20;GIRO_CAJERO;-312978;SUCURSAL;FALABELLA;2025-05-01
5074;9;DEPOSITO;282885;APP_MOVIL;PROVEEDOR_ABC;2025-06-07
5075;20;PAGO_NOMINA;1220303;APP_MOVIL;CLIENTE_123;2025-09-07
5076;17;TRANSFERENCIA_ENVIADA;-234187;APP_MOVIL;FALABELLA;2025-12-16
5077;4;PAGO_SERVICIO;-641198;WEB;ENEL;2025-03-12
5078;14;TRANSFERENCIA_ENVIADA;-651353;APP_MOVIL;AGUAS_ANDINAS;2025-04-26
5079;4;TRANSFERENCIA_ENVIADA;-573637;SUCURSAL;AMAZON;2025-11-12
5080;2;GIRO_CAJERO;-611336;APP_MOVIL;UBER;2025-01-22
5081;28;PAGO_NOMINA;1561578;ATM;BANCO_CHILE;2025-03-16
5082;2;COMPRA_COMERCIO;-331746;ATM;MOVISTAR;2025-09-01
5083;14;PAGO_SERVICIO;-664391;WEB;SHELL;2025-04-13
5084;21;PAGO_SERVICIO;-411549;APP_MOVIL;ENEL;2025-02-12
5085;16;PAGO_SERVICIO;-593462;APP_MOVIL;NETFLIX;2025-03-13
5086;8;COMPRA_COMERCIO;-732563;WEB;MOVISTAR;2025-08-14
5087;5;TRANSFERENCIA_ENVIADA;-35214;WEB;ENEL;2025-12-18
5088;5;TRANSFERENCIA_RECIBIDA;1114774;ATM;EMPRESA_X;2025-10-02
5089;19;PAGO_NOMINA;554768;APP_MOVIL;MARIA_GONZALEZ;2025-04-28
5090;25;PAGO_SERVICIO;-72019;SUCURSAL;UBER;2025-01-09
5091;11;PAGO_NOMINA;843380;SUCURSAL;JUAN_PEREZ;2025-11-03
5092;27;GIRO_CAJERO;-255652;SUCURSAL;FALABELLA;2025-06-23
5093;16;COMPRA_COMERCIO;-292932;APP_MOVIL;AMAZON;2025-04-05
5094;18;TRANSFERENCIA_ENVIADA;-654565;APP_MOVIL;SUPERMERCADO_LIDER;2025-04-21
5095;1;COMPRA_COMERCIO;-563235;SUCURSAL;MOVISTAR;2025-11-07
5096;20;TRANSFERENCIA_ENVIADA;-281082;ATM;ENEL;2025-05-17
5097;1;GIRO_CAJERO;-756418;ATM;ENEL;2025-06-27
5098;28;TRANSFERENCIA_RECIBIDA;2372758;APP_MOVIL;MARIA_GONZALEZ;2025-09-08
5099;25;COMPRA_COMERCIO;-40489;WEB;SHELL;2025-10-09
5100;15;GIRO_CAJERO;-445971;APP_MOVIL;MOVISTAR;2025-09-22
5101;10;COMPRA_COMERCIO;-143969;WEB;FALABELLA;2025-08-19
5102;22;COMPRA_COMERCIO;-174839;SUCURSAL;SHELL;2025-10-08
5103;2;TRANSFERENCIA_RECIBIDA;1425547;WEB;MARIA_GONZALEZ;2025-07-13
5104;1;DEPOSITO;1927166;APP_MOVIL;EMPRESA_Y;2025-08-04
5105;23;COMPRA_COMERCIO;-747045;APP_MOVIL;NETFLIX;2025-11-21
5106;25;COMPRA_COMERCIO;-108889;SUCURSAL;UBER;2025-03-18
5107;5;TRANSFERENCIA_RECIBIDA;1689868;ATM;BANCO_CHILE;2025-06-05
5108;11;PAGO_SERVICIO;-77935;SUCURSAL;SUPERMERCADO_LIDER;2025-12-25
5109;21;GIRO_CAJERO;-447762;SUCURSAL;COPEC;2025-05-05
5110;21;PAGO_SERVICIO;-84859;SUCURSAL;UBER;2025-05-27
5111;18;COMPRA_COMERCIO;-103651;WEB;AGUAS_ANDINAS;2025-06-27
5112;28;PAGO_SERVICIO;-732638;APP_MOVIL;UBER;2025-06-13
5113;25;COMPRA_COMERCIO;-302478;SUCURSAL;FALABELLA;2025-10-07
5114;21;GIRO_CAJERO;-657060;WEB;SHELL;2025-07-13
5115;10;TRANSFERENCIA_ENVIADA;-422804;SUCURSAL;SHELL;2025-10-28
5116;13;COMPRA_COMERCIO;-484241;APP_MOVIL;SUPERMERCADO_LIDER;2025-02-07
5117;9;COMPRA_COMERCIO;-79217;WEB;MOVISTAR;2025-02-18
5118;14;DEPOSITO;1588616;WEB;CLIENTE_123;2025-05-26
5119;30;TRANSFERENCIA_ENVIADA;-670556;SUCURSAL;UBER;2025-09-09
5120;28;TRANSFERENCIA_ENVIADA;-101668;ATM;NETFLIX;2025-07-04
5121;13;PAGO_NOMINA;198322;SUCURSAL;PROVEEDOR_ABC;2025-06-01
5122;20;COMPRA_COMERCIO;-389305;ATM;AGUAS_ANDINAS;2025-06-26
5123;4;PAGO_SERVICIO;-648010;ATM;NETFLIX;2025-12-07
5124;11;TRANSFERENCIA_RECIBIDA;97816;APP_MOVIL;BANCO_ESTADO;2025-05-20
5125;7;TRANSFERENCIA_ENVIADA;-39989;SUCURSAL;SHELL;2025-12-04
5126;22;TRANSFERENCIA_ENVIADA;-549168;SUCURSAL;NETFLIX;2025-04-01
5127;17;TRANSFERENCIA_ENVIADA;-82226;APP_MOVIL;UBER;2025-05-06
