ID_TRANSACCION;ID_CLIENTE;TIPO_TRANSACCION;MONTO;SALDO_POSTERIOR;CANAL;GEOLOCATION;COMERCIO_CONTRAPARTE;FECHA_HORA
6001;14;PAGO_SERVICIO;-309717;2090836;ATM;-33.4489 -70.6693;UBER;2025-01-23 08:29
6002;30;TRANSFERENCIA_ENVIADA;-393887;640957;WEB;-33.4489 -70.6693;FALABELLA;2025-06-12 13:31
6003;21;TRANSFERENCIA_ENVIADA;-53466;1223058;ATM;-33.4489 -70.6693;SHELL;2025-06-22 17:24
6004;17;GIRO_CAJERO;-51487;3259573;APP_MOVIL;-33.4489 -70.6693;COPEC;2025-03-20 13:13
6005;3;COMPRA_COMERCIO;-297224;3246410;ATM;-33.5100 -70.7600;COPEC;2025-05-08 17:07
6006;3;TRANSFERENCIA_ENVIADA;-145134;3101276;SUCURSAL;-33.5100 -70.7600;SHELL;2025-12-20 19:29
6007;26;TRANSFERENCIA_ENVIADA;-314225;4107334;APP_MOVIL;-33.4489 -70.6693;SHELL;2025-01-16 10:07
6008;24;PAGO_NOMINA;1633617;4963771;APP_MOVIL;-33.4489 -70.6693;BANCO_CHILE;2025-01-11 20:56
6009;25;PAGO_NOMINA;349635;2285289;ATM;-33.4489 -70.6693;EMPRESA_X;2025-01-25 20:52
6010;28;COMPRA_COMERCIO;-252977;2902515;WEB;-33.4489 -70.6693;ENEL;2025-10-14 22:03
6011;24;PAGO_NOMINA;660408;5624179;APP_MOVIL;-33.4489 -70.6693;JUAN_PEREZ;2025-02-16 21:56
6012;18;PAGO_NOMINA;151596;1983707;ATM;-33.4489 -70.6693;BANCO_CHILE;2025-09-22 19:45
6013;10;TRANSFERENCIA_ENVIADA;-234712;998472;SUCURSAL;-36.8201 -73.0444;UBER;2025-09-20 14:59
6014;6;TRANSFERENCIA_RECIBIDA;768169;4253929;ATM;-33.0245 -71.5518;MARIA_GONZALEZ;2025-06-05 18:16
6015;6;COMPRA_COMERCIO;-72245;4181684;SUCURSAL;-33.0245 -71.5518;AGUAS_ANDINAS;2025-09-19 09:20
6016;23;TRANSFERENCIA_RECIBIDA;1447359;4722126;WEB;-33.4489 -70.6693;EMPRESA_X;2025-08-11 10:41
6017;26;PAGO_NOMINA;1573101;5680435;ATM;-33.4489 -70.6693;MARIA_GONZALEZ;2025-05-24 20:57
6018;9;COMPRA_COMERCIO;-252221;1562684;WEB;-29.9027 -71.2519;AGUAS_ANDINAS;2025-10-15 09:17
6019;29;PAGO_SERVICIO;-231912;2869123;WEB;-33.4489 -70.6693;SUPERMERCADO_LIDER;2025-10-09 15:26
6020;20;TRANSFERENCIA_RECIBIDA;1933733;5042710;WEB;-33.4489 -70.6693;PROVEEDOR_ABC;2025-08-18 13:54
6021;12;TRANSFERENCIA_ENVIADA;-295885;3477006;ATM;-33.4489 -70.6693;COPEC;2025-03-06 16:26
6022;29;TRANSFERENCIA_ENVIADA;-68343;2800780;SUCURSAL;-33.4489 -70.6693;COPEC;2025-10-14 12:30
6023;15;TRANSFERENCIA_RECIBIDA;160614;5088040;APP_MOVIL;-33.4489 -70.6693;MARIA_GONZALEZ;2025-01-03 11:09
6024;15;COMPRA_COMERCIO;-154174;4933866;APP_MOVIL;-33.4489 -70.6693;COPEC;2025-11-06 12:19
6025;15;DEPOSITO;802895;5736761;SUCURSAL;-33.4489 -70.6693;BANCO_CHILE;2025-10-02 10:08
6026;29;TRANSFERENCIA_RECIBIDA;573190;3373970;ATM;-33.4489 -70.6693;MARIA_GONZALEZ;2025-03-02 21:47
6027;25;PAGO_SERVICIO;-355409;1929880;ATM;-33.4489 -70.6693;SUPERMERCADO_LIDER;2025-08-25 09:00
6028;2;PAGO_NOMINA;1631510;4800673;WEB;-33.4160 -70.5975;EMPRESA_X;2025-04-07 19:41
6029;24;TRANSFERENCIA_RECIBIDA;1180104;6804283;ATM;-33.4489 -70.6693;MARIA_GONZALEZ;2025-01-27 20:18
6030;30;PAGO_SERVICIO;-23041;617916;APP_MOVIL;-33.4489 -70.6693;AMAZON;2025-03-14 13:06
6031;6;TRANSFERENCIA_ENVIADA;-55168;4126516;ATM;-33.0245 -71.5518;AMAZON;2025-08-16 21:52
6032;1;PAGO_SERVICIO;-148743;4480952;APP_MOVIL;-33.4372 -70.6506;SUPERMERCADO_LIDER;2025-07-15 15:05
6033;11;PAGO_SERVICIO;-467899;1031776;APP_MOVIL;-33.4489 -70.6693;COPEC;2025-11-20 22:04
6034;2;COMPRA_COMERCIO;-282774;4517899;SUCURSAL;-33.4160 -70.5975;NETFLIX;2025-11-15 09:20
6035;11;PAGO_SERVICIO;-456285;575491;ATM;-33.4489 -70.6693;UBER;2025-01-10 17:26
6036;16;GIRO_CAJERO;-241734;4738475;ATM;-33.4489 -70.6693;AGUAS_ANDINAS;2025-06-02 11:45
6037;19;TRANSFERENCIA_ENVIADA;-456898;2879360;SUCURSAL;-33.4489 -70.6693;SHELL;2025-10-22 18:43
6038;29;TRANSFERENCIA_ENVIADA;-276103;3097867;WEB;-33.4489 -70.6693;ENEL;2025-10-23 14:02
6039;23;GIRO_CAJERO;-98675;4623451;ATM;-33.4489 -70.6693;SHELL;2025-03-12 22:40
6040;28;GIRO_CAJERO;-278409;2624106;APP_MOVIL;-33.4489 -70.6693;MOVISTAR;2025-03-26 08:21
6041;10;COMPRA_COMERCIO;-139927;858545;SUCURSAL;-36.8201 -73.0444;COPEC;2025-01-24 22:56
6042;7;PAGO_SERVICIO;-205741;4646857;SUCURSAL;-34.1708 -70.7444;ENEL;2025-09-09 19:27
6043;9;PAGO_NOMINA;1066164;2628848;ATM;-29.9027 -71.2519;MARIA_GONZALEZ;2025-05-07 17:33
6044;14;GIRO_CAJERO;-458717;1632119;WEB;-33.4489 -70.6693;AMAZON;2025-05-04 12:57
6045;21;COMPRA_COMERCIO;-370737;852321;ATM;-33.4489 -70.6693;FALABELLA;2025-10-10 16:01
6046;26;DEPOSITO;575864;6256299;ATM;-33.4489 -70.6693;EMPRESA_X;2025-02-11 22:23
6047;23;PAGO_NOMINA;1080885;5704336;ATM;-33.4489 -70.6693;PROVEEDOR_ABC;2025-02-28 13:58
6048;20;DEPOSITO;1950163;6992873;SUCURSAL;-33.4489 -70.6693;PROVEEDOR_ABC;2025-03-19 14:44
6049;1;TRANSFERENCIA_ENVIADA;-412694;4068258;WEB;-33.4372 -70.6506;AGUAS_ANDINAS;2025-02-17 16:21
6050;18;TRANSFERENCIA_RECIBIDA;1770618;3754325;APP_MOVIL;-33.4489 -70.6693;PROVEEDOR_ABC;2025-07-07 19:10
6051;9;COMPRA_COMERCIO;-377882;2250966;ATM;-29.9027 -71.2519;UBER;2025-10-24 11:31
6052;15;DEPOSITO;388873;6125634;APP_MOVIL;-33.4489 -70.6693;PROVEEDOR_ABC;2025-06-04 18:29
6053;12;PAGO_SERVICIO;-72805;3404201;WEB;-33.4489 -70.6693;FALABELLA;2025-08-26 10:28
6054;9;GIRO_CAJERO;-161191;2089775;APP_MOVIL;-29.9027 -71.2519;ENEL;2025-07-23 18:47
6055;8;TRANSFERENCIA_RECIBIDA;952957;2972397;SUCURSAL;-23.6509 -70.3975;JUAN_PEREZ;2025-03-16 08:04
6056;6;GIRO_CAJERO;-264278;3862238;ATM;-33.0245 -71.5518;AGUAS_ANDINAS;2025-11-27 09:13
6057;21;DEPOSITO;1585395;2437716;SUCURSAL;-33.4489 -70.6693;PROVEEDOR_ABC;2025-09-16 19:03
6058;23;PAGO_SERVICIO;-305510;5398826;ATM;-33.4489 -70.6693;COPEC;2025-01-23 16:12
6059;2;COMPRA_COMERCIO;-164015;4353884;WEB;-33.4160 -70.5975;AGUAS_ANDINAS;2025-09-28 08:09
6060;8;GIRO_CAJERO;-391430;2580967;APP_MOVIL;-23.6509 -70.3975;AMAZON;2025-11-09 08:12
6061;4;GIRO_CAJERO;-43186;3756332;WEB;-38.7359 -72.5904;SHELL;2025-07-17 10:05
6062;11;PAGO_SERVICIO;-173050;402441;APP_MOVIL;-33.4489 -70.6693;AGUAS_ANDINAS;2025-03-27 09:12
6063;25;GIRO_CAJERO;-251946;1677934;WEB;-33.4489 -70.6693;SHELL;2025-03-25 14:22
6064;10;COMPRA_COMERCIO;-239471;619074;APP_MOVIL;-36.8201 -73.0444;ENEL;2025-04-24 10:33
6065;15;PAGO_SERVICIO;-33463;6092171;WEB;-33.4489 -70.6693;COPEC;2025-01-19 16:30
6066;28;TRANSFERENCIA_ENVIADA;-392698;2231408;WEB;-33.4489 -70.6693;AGUAS_ANDINAS;2025-03-23 17:57
6067;27;GIRO_CAJERO;-177438;1129467;SUCURSAL;-33.4489 -70.6693;FALABELLA;2025-08-11 12:52
6068;5;GIRO_CAJERO;-325796;2024156;ATM;-33.0472 -71.6127;FALABELLA;2025-12-15 13:13
6069;7;PAGO_SERVICIO;-109140;4537717;APP_MOVIL;-34.1708 -70.7444;NETFLIX;2025-04-09 20:45
6070;12;COMPRA_COMERCIO;-267807;3136394;WEB;-33.4489 -70.6693;SUPERMERCADO_LIDER;2025-04-20 12:41
6071;10;PAGO_NOMINA;1998962;2618036;WEB;-36.8201 -73.0444;PROVEEDOR_ABC;2025-11-28 11:41
6072;1;PAGO_SERVICIO;-400180;3668078;ATM;-33.4372 -70.6506;UBER;2025-09-09 09:47
6073;15;TRANSFERENCIA_ENVIADA;-456462;5635709;APP_MOVIL;-33.4489 -70.6693;FALABELLA;2025-06-08 14:07
6074;19;GIRO_CAJERO;-3632;2875728;SUCURSAL;-33.4489 -70.6693;FALABELLA;2025-10-07 19:37
6075;13;PAGO_SERVICIO;-109102;3465832;WEB;-33.4489 -70.6693;NETFLIX;2025-12-01 22:36
6076;12;DEPOSITO;1121441;4257835;APP_MOVIL;-33.4489 -70.6693;EMPRESA_X;2025-09-17 12:51
6077;2;COMPRA_COMERCIO;-86241;4267643;SUCURSAL;-33.4160 -70.5975;SUPERMERCADO_LIDER;2025-05-08 09:41
6078;30;DEPOSITO;1771361;2389277;ATM;-33.4489 -70.6693;CLIENTE_123;2025-06-21 17:00
6079;6;COMPRA_COMERCIO;-227753;3634485;WEB;-33.0245 -71.5518;ENEL;2025-12-27 16:12
6080;14;COMPRA_COMERCIO;-388009;1244110;APP_MOVIL;-33.4489 -70.6693;AGUAS_ANDINAS;2025-11-16 11:23
6081;27;PAGO_NOMINA;629877;1759344;WEB;-33.4489 -70.6693;CLIENTE_123;2025-02-09 17:53
6082;2;PAGO_NOMINA;522248;4789891;ATM;-33.4160 -70.5975;PROVEEDOR_ABC;2025-03-17 16:43
6083;25;TRANSFERENCIA_RECIBIDA;1556292;3234226;ATM;-33.4489 -70.6693;EMPRESA_X;2025-06-06 15:57
6084;11;TRANSFERENCIA_ENVIADA;-228053;174388;WEB;-33.4489 -70.6693;AGUAS_ANDINAS;2025-06-27 08:02
6085;20;DEPOSITO;1023297;8016170;WEB;-33.4489 -70.6693;PROVEEDOR_ABC;2025-12-06 19:00
6086;29;TRANSFERENCIA_ENVIADA;-276648;2821219;ATM;-33.4489 -70.6693;SHELL;2025-01-09 21:28
6087;24;GIRO_CAJERO;-77125;6727158;WEB;-33.4489 -70.6693;ENEL;2025-11-05 13:51
6088;13;COMPRA_COMERCIO;-16081;3449751;SUCURSAL;-33.4489 -70.6693;SHELL;2025-11-26 22:49
6089;18;TRANSFERENCIA_ENVIADA;-75338;3678987;SUCURSAL;-33.4489 -70.6693;MOVISTAR;2025-05-20 09:55
6090;22;PAGO_NOMINA;930642;4016752;APP_MOVIL;-33.4489 -70.6693;CLIENTE_123;2025-08-21 16:26
6091;14;COMPRA_COMERCIO;-411511;832599;ATM;-33.4489 -70.6693;MOVISTAR;2025-07-21 14:59
6092;20;TRANSFERENCIA_ENVIADA;-461682;7554488;WEB;-33.4489 -70.6693;NETFLIX;2025-04-21 15:03
6093;8;TRANSFERENCIA_ENVIADA;-79341;2501626;WEB;-23.6509 -70.3975;SUPERMERCADO_LIDER;2025-11-23 20:27
6094;13;TRANSFERENCIA_RECIBIDA;437391;3887142;SUCURSAL;-33.4489 -70.6693;PROVEEDOR_ABC;2025-09-06 12:41
6095;7;PAGO_SERVICIO;-108247;4429470;APP_MOVIL;-34.1708 -70.7444;AMAZON;2025-03-20 08:24
6096;19;DEPOSITO;737449;3613177;APP_MOVIL;-33.4489 -70.6693;MARIA_GONZALEZ;2025-02-08 19:25
6097;20;DEPOSITO;1756423;9310911;WEB;-33.4489 -70.6693;PROVEEDOR_ABC;2025-12-25 15:40
6098;19;GIRO_CAJERO;-150273;3462904;APP_MOVIL;-33.4489 -70.6693;MOVISTAR;2025-07-03 16:24
6099;22;PAGO_SERVICIO;-75462;3941290;SUCURSAL;-33.4489 -70.6693;SUPERMERCADO_LIDER;2025-02-28 09:58
6100;11;TRANSFERENCIA_RECIBIDA;1257880;1432268;APP_MOVIL;-33.4489 -70.6693;BANCO_CHILE;2025-08-12 13:09
6101;5;PAGO_SERVICIO;-451136;1573020;WEB;-33.0472 -71.6127;COPEC;2025-10-19 09:31
6102;14;COMPRA_COMERCIO;-262207;570392;WEB;-33.4489 -70.6693;COPEC;2025-03-25 15:14
6103;3;PAGO_SERVICIO;-229992;2871284;APP_MOVIL;-33.5100 -70.7600;NETFLIX;2025-09-25 17:30
6104;4;TRANSFERENCIA_ENVIADA;-60197;3696135;ATM;-38.7359 -72.5904;NETFLIX;2025-12-20 21:06
6105;16;COMPRA_COMERCIO;-279268;4459207;ATM;-33.4489 -70.6693;SUPERMERCADO_LIDER;2025-01-05 21:39
6106;27;GIRO_CAJERO;-116753;1642591;WEB;-33.4489 -70.6693;NETFLIX;2025-04-01 21:40
