ID_TRANSACCION;ID_CLIENTE;MONTO;GEOLOCATION;DISPOSITIVO;FECHA
4001;1;34990;-33.4372 -70.6506;Mobile;2025-01-01
4002;2;65990;-33.4160 -70.5975;Desktop;2025-02-02
4003;3;9990;-33.5100 -70.7600;Tablet;2025-03-03
4004;4;55990;-38.7359 -72.5904;Tablet;2025-04-04
4005;5;9990;-33.0472 -71.6127;Desktop;2025-05-05
4006;6;159990;-33.0245 -71.5518;Tablet;2025-06-06
4007;7;129990;-34.1708 -70.7444;Tablet;2025-07-07
4008;8;45990;-23.6509 -70.3975;Desktop;2025-08-08
4009;9;259990;-29.9027 -71.2519;Laptop;2025-09-09
4010;10;23990;-36.8201 -73.0444;Desktop;2025-10-10
4011;11;65990;-33.4380 -70.6512;Mobile;2025-11-11
4012;12;259990;-33.4172 -70.5981;Tablet;2025-12-12
4013;13;159990;-33.5120 -70.7585;Desktop;2025-01-13
4014;14;89990;-33.4365 -70.6480;Desktop;2025-02-14
4015;15;129990;-33.4150 -70.5968;Desktop;2025-03-15
4016;16;159990;-33.5095 -70.7612;Tablet;2025-04-16
4017;17;159990;-38.7365 -72.5898;Tablet;2025-05-17
4018;18;159990;-33.0485 -71.6100;Laptop;2025-06-18
4019;19;55990;-33.0238 -71.5525;Desktop;2025-07-19
4020;20;259990;-34.1715 -70.7438;Mobile;2025-08-20
4021;21;18990;-23.6498 -70.3962;Mobile;2025-09-21
4022;22;65990;-29.9035 -71.2508;Mobile;2025-10-22
4023;23;159990;-36.8215 -73.0435;Desktop;2025-11-23
4024;24;23990;-33.4378 -70.6495;Desktop;2025-12-24
4025;25;259990;-33.4165 -70.5990;Tablet;2025-01-25
4026;26;18990;-33.5112 -70.7598;Mobile;2025-02-26
4027;27;129990;-38.7370 -72.5915;Mobile;2025-03-27
4028;28;34990;-33.0478 -71.6135;Desktop;2025-04-28
4029;29;34990;-33.0252 -71.5509;Tablet;2025-05-01
4030;30;34990;-34.1720 -70.7425;Laptop;2025-06-02
4031;1;259990;-33.4372 -70.6506;Desktop;2025-07-03
4032;2;18990;-33.4160 -70.5975;Desktop;2025-08-04
4033;3;159990;-33.5100 -70.7600;Desktop;2025-09-05
4034;4;259990;-38.7359 -72.5904;Tablet;2025-10-06
4035;5;9990;-33.0472 -71.6127;Tablet;2025-11-07
4036;6;55990;-33.0245 -71.5518;Tablet;2025-12-08
4037;7;75990;-34.1708 -70.7444;Tablet;2025-01-09
4038;8;259990;-23.6509 -70.3975;Tablet;2025-02-10
4039;9;75990;-29.9027 -71.2519;Desktop;2025-03-11
4040;10;75990;-36.8201 -73.0444;Desktop;2025-04-12
4041;11;129990;-33.4380 -70.6512;Laptop;2025-05-13
4042;12;89990;-33.4172 -70.5981;Mobile;2025-06-14
4043;13;9990;-33.5120 -70.7585;Mobile;2025-07-15
4044;14;89990;-33.4365 -70.6480;Tablet;2025-08-16
4045;15;129990;-33.4150 -70.5968;Tablet;2025-09-17
4046;16;55990;-33.5095 -70.7612;Laptop;2025-10-18
4047;17;129990;-38.7365 -72.5898;Laptop;2025-11-19
4048;18;75990;-33.0485 -71.6100;Mobile;2025-12-20
4049;19;9990;-33.0238 -71.5525;Mobile;2025-01-21
4050;20;259990;-34.1715 -70.7438;Mobile;2025-02-22
4051;21;18990;-23.6498 -70.3962;Mobile;2025-03-23
4052;22;55990;-29.9035 -71.2508;Tablet;2025-04-24
4053;23;23990;-36.8215 -73.0435;Tablet;2025-05-25
4054;24;259990;-33.4378 -70.6495;Mobile;2025-06-26
4055;25;259990;-33.4165 -70.5990;Desktop;2025-07-27
4056;26;65990;-33.5112 -70.7598;Tablet;2025-08-28
4057;27;259990;-38.7370 -72.5915;Mobile;2025-09-01
4058;28;45990;-33.0478 -71.6135;Mobile;2025-10-02
4059;29;45990;-33.0252 -71.5509;Tablet;2025-11-03
4060;30;129990;-34.1720 -70.7425;Laptop;2025-12-04
4061;1;9990;-33.4372 -70.6506;Mobile;2025-01-05
4062;2;34990;-33.4160 -70.5975;Laptop;2025-02-06
4063;3;159990;-33.5100 -70.7600;Tablet;2025-03-07
4064;4;65990;-38.7359 -72.5904;Laptop;2025-04-08
4065;5;259990;-33.0472 -71.6127;Tablet;2025-05-09
4066;6;89990;-33.0245 -71.5518;Mobile;2025-06-10
4067;7;23990;-34.1708 -70.7444;Tablet;2025-07-11
4068;8;34990;-23.6509 -70.3975;Desktop;2025-08-12
4069;9;55990;-29.9027 -71.2519;Laptop;2025-09-13
4070;10;259990;-36.8201 -73.0444;Mobile;2025-10-14
4071;11;159990;-33.4380 -70.6512;Tablet;2025-11-15
4072;12;9990;-33.4172 -70.5981;Tablet;2025-12-16
4073;13;65990;-33.5120 -70.7585;Laptop;2025-01-17
4074;14;129990;-33.4365 -70.6480;Tablet;2025-02-18
4075;15;75990;-33.4150 -70.5968;Mobile;2025-03-19
4076;16;75990;-33.5095 -70.7612;Desktop;2025-04-20
4077;17;89990;-38.7365 -72.5898;Laptop;2025-05-21
4078;18;34990;-33.0485 -71.6100;Tablet;2025-06-22
4079;19;65990;-33.0238 -71.5525;Tablet;2025-07-23
4080;20;34990;-34.1715 -70.7438;Laptop;2025-08-24
4081;21;18990;-23.6498 -70.3962;Laptop;2025-09-25
4082;22;18990;-29.9035 -71.2508;Mobile;2025-10-26
4083;23;45990;-36.8215 -73.0435;Laptop;2025-11-27
4084;24;259990;-33.4378 -70.6495;Desktop;2025-12-28
4085;25;45990;-33.4165 -70.5990;Desktop;2025-01-01
4086;26;129990;-33.5112 -70.7598;Desktop;2025-02-02
4087;27;34990;-38.7370 -72.5915;Desktop;2025-03-03
4088;28;23990;-33.0478 -71.6135;Tablet;2025-04-04
4089;29;9990;-33.0252 -71.5509;Desktop;2025-05-05
4090;30;89990;-34.1720 -70.7425;Mobile;2025-06-06
4091;1;75990;-33.4372 -70.6506;Mobile;2025-07-07
4092;2;65990;-33.4160 -70.5975;Mobile;2025-08-08
